current_time,weather,temp,humidity
2025-08-11 06:45:17,Clouds,28.76,74
2025-08-11 07:01:16,Clouds,28.76,74
2025-08-11 07:32:00,Clouds,29.76,66
2025-08-11 07:46:56,Clouds,29.76,66
2025-08-11 07:55:34,Clouds,29.76,66
2025-08-11 08:21:37,Clouds,28.83,68
2025-08-11 08:48:05,Clouds,29.76,66
2025-08-11 09:01:58,Clouds,29.76,66
2025-08-11 09:34:40,Clouds,27.76,74
2025-08-11 09:51:03,Clouds,27.76,74
2025-08-11 09:58:35,Clouds,27.76,74
2025-08-11 10:25:21,Clouds,27.76,78
2025-08-11 10:46:10,Clouds,27.76,78
2025-08-11 10:56:52,Clouds,27.76,78
2025-08-11 11:16:05,Clouds,25.89,79
2025-08-11 11:31:38,Clouds,26.76,83
2025-08-11 11:44:10,Clouds,26.76,83
2025-08-11 11:51:48,Clouds,26.76,83
2025-08-11 11:59:09,Clouds,26.76,83
2025-08-11 12:50:50,Clear,24.76,88
2025-08-11 13:29:00,Clear,24.76,88
2025-08-11 13:55:50,Clear,24.76,88
2025-08-11 14:17:04,Clear,23.41,88
2025-08-11 14:42:47,Clear,24.76,88
2025-08-11 14:55:57,Clear,24.76,88
2025-08-11 15:16:42,Clear,22.91,89
